Title: List of Buildings in 5-County Region with 100 or more eviction filings since 4/1/2020 (as of 12/30/2023)
Source: Atlanta Region Eviction Tracker - https://metroatlhousing.org/atlanta-region-eviction-tracker

Street,City,Zip,countyFIPS,tractID,Filings in Jan 2020,Filings in Feb 2020,Filings in Mar 2020,Filings in Apr 2020,Filings in May 2020,Filings in Jun 2020,Filings in Jul 2020,Filings in Aug 2020,Filings in Sep 2020,Filings in Oct 2020,Filings in Nov 2020,Filings in Dec 2020,Filings in Jan 2021,Filings in Feb 2021,Filings in Mar 2021,Filings in Apr 2021,Filings in May 2021,Filings in Jun 2021,Filings in Jul 2021,Filings in Aug 2021,Filings in Sep 2021,Filings in Oct 2021,Filings in Nov 2021,Filings in Dec 2021,Filings in Jan 2022,Filings in Feb 2022,Filings in Mar 2022,Filings in Apr 2022,Filings in May 2022,Filings in Jun 2022,Filings in Jul 2022,Filings in Aug 2022,Filings in Sep 2022,Filings in Oct 2022,Filings in Nov 2022,Filings in Dec 2022,Filings in Jan 2023,Filings in Feb 2023,Filings in Mar 2023,Filings in Apr 2023,Filings in May 2023,Filings in Jun 2023,Filings in Jul 2023,Filings in Aug 2023,Filings in Sep 2023,Filings in Oct 2023,Filings in Nov 2023,Filings in Dec 2023,Filings in Jan 2024
"1750 SHILOH RD NW","KENNESAW","30144","067","13067030226",7,4,4,0,0,0,0,0,1,4,6,5,6,11,4,3,6,3,5,0,3,2,4,3,14,10,7,10,8,10,11,14,11,11,12,12,9,19,10,8,6,6,7,6,13,7,3,14,0
"2200 PARKLAKE DR NE","ATLANTA","30345","089","13089021810",11,7,6,0,0,0,0,0,0,6,2,4,0,5,1,4,2,5,4,10,9,8,4,6,0,11,0,9,6,8,13,12,19,15,9,11,5,11,14,15,21,17,23,19,14,0,24,14,0
"425 WILLIAMS DR","MARIETTA","30066","067","13067030506",26,12,6,0,0,0,1,3,4,1,4,3,1,4,3,0,1,1,0,3,7,12,0,11,7,14,7,9,0,0,16,14,10,7,7,10,4,16,7,9,0,9,18,17,12,7,3,6,0
"7124 SOUTHLAKE PKWY","MORROW","30260","063","13063040412",7,12,7,0,0,0,0,0,9,7,0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,1,25,7,20,20,19,14,17,10,11,9,12,25,11,0,8,17,7,15,17,10,10,0,0
"3900 GEORGE BUSBEE PKWY NW","KENNESAW","30144","067","13067030228",13,6,13,1,0,0,0,5,2,1,5,2,3,1,2,2,0,0,7,1,10,13,10,10,7,3,10,10,7,11,11,8,9,3,0,0,5,12,0,0,5,7,5,0,8,0,2,1,0
"3386 MT ZION RD","STOCKBRIDGE","30281","063","13063040616",14,2,6,0,0,0,0,0,10,8,6,9,0,0,13,0,0,1,0,1,0,3,1,1,8,0,35,9,26,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70 PERIMETER CTR E","ATLANTA","30346","089","13089021216",12,14,6,0,0,0,0,0,0,0,4,21,11,10,7,7,9,7,11,11,4,9,8,11,5,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1435 BOGGS RD","DULUTH","30096","135","13135050537",0,11,5,0,0,0,0,0,4,7,3,5,4,4,4,2,0,2,11,3,3,3,8,8,0,2,6,10,0,15,13,11,16,22,10,15,4,12,13,10,15,6,8,0,3,3,5,2,0
"1887 DULUTH HWY","LAWRENCEVILLE","30043","135","13135050511",16,11,10,0,0,0,0,0,5,2,2,6,6,14,4,4,3,6,9,10,2,7,8,8,6,9,7,5,6,2,4,3,4,3,1,5,4,3,3,1,3,5,8,5,10,0,7,10,0
"3000 CUMBERLAND CLUB DR","ATLANTA","30339","067","13067031207",0,0,0,0,0,0,0,0,2,1,6,13,4,9,6,7,19,10,19,18,12,22,15,9,0,0,7,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4735 COURTNEY DR","FOREST PARK","30297","063","13063040303",3,1,6,0,0,0,0,0,0,0,45,0,1,20,15,0,0,5,0,0,0,22,17,2,0,8,3,0,0,0,0,5,19,9,1,4,3,2,3,0,11,5,8,3,0,10,1,10,0
"5890 RIVERDALE RD","ATLANTA","30349","063","13063040519",8,6,3,0,0,0,0,0,0,0,0,20,7,0,0,0,0,2,2,0,1,0,0,3,4,17,8,16,9,11,0,13,13,38,0,12,0,0,35,13,10,0,0,23,23,8,13,8,0
"3205 CUMBERLAND BLVD SE","ATLANTA","30339","067","13067031207",2,2,0,0,0,0,0,2,4,0,6,8,0,2,1,3,2,4,6,11,11,13,12,0,20,1,0,16,4,6,6,15,11,8,10,5,12,13,11,13,9,13,13,15,9,18,7,8,0
"1655 CENTERVIEW DR","DULUTH","30096","135","13135050542",7,9,9,0,0,2,3,3,1,4,3,4,7,5,4,4,4,1,0,0,0,0,2,0,0,15,9,5,10,18,11,15,10,10,13,11,15,17,9,13,12,14,11,11,11,9,5,10,0
"3051 LUMBY DR","DECATUR","30034","089","13089023410",0,0,0,0,0,0,0,0,0,2,1,0,2,7,0,6,3,1,3,11,9,16,13,16,11,10,2,5,11,3,9,14,9,11,7,9,10,10,5,11,12,7,10,5,8,0,7,8,0
"3379 FLAT SHOALS RD","DECATUR","30034","089","13089023410",12,6,1,0,0,0,8,4,0,14,0,0,0,0,0,0,0,0,0,0,34,2,3,2,16,15,0,0,11,4,20,0,10,13,0,2,38,0,0,0,18,1,0,3,0,0,10,0,0
"5530 OLD DIXIE HWY","FOREST PARK","30297","063","13063040306",13,17,11,0,0,0,0,0,5,18,10,16,2,11,0,0,0,5,9,0,1,14,1,11,4,7,1,3,1,15,0,0,0,0,0,0,0,0,34,10,6,1,16,10,0,11,13,0,0
"2200 DULUTH HWY NW","DULUTH","30097","135","13135050217",11,6,2,0,0,0,3,7,6,4,2,6,9,4,7,3,3,5,5,4,7,6,6,7,5,9,10,6,2,6,3,7,5,8,5,6,3,7,0,4,8,2,7,2,2,4,2,4,0
"2100 MESA VALLEY WAY","AUSTELL","30106","067","13067031406",1,13,5,0,0,0,0,2,0,9,8,9,0,9,4,2,6,3,5,8,13,9,0,7,2,0,9,0,8,3,5,9,12,11,6,6,6,9,2,5,3,4,9,3,5,4,8,2,0
"4420 PEACHTREE RD NE","ATLANTA","30319","089","13089021102",6,4,1,0,0,0,0,7,4,2,5,5,4,6,4,2,4,2,7,6,8,7,5,8,11,6,6,0,7,19,7,8,6,5,5,4,5,6,0,7,6,0,0,0,0,5,5,6,0
"4695 N CHURCH LN SE","ATLANTA","30339","067","13067031205",3,5,3,0,1,0,0,0,0,8,9,11,9,3,9,4,5,7,6,5,4,7,6,0,4,7,5,9,6,5,10,5,7,9,0,24,5,7,11,10,14,0,21,5,10,0,10,6,0
"1796 SATELLITE BLVD","DULUTH","30097","135","13135050216",9,9,10,0,0,0,0,0,6,2,2,3,4,6,2,3,3,3,4,7,6,7,5,7,9,11,4,6,10,7,5,4,7,7,10,13,14,10,0,5,7,7,7,6,7,11,8,7,0
"1869 APPALOOSA LN","BUFORD","30519","135","13135050606",11,14,5,0,0,0,0,0,2,9,15,5,8,11,3,2,6,3,9,5,5,8,5,8,8,11,6,10,0,0,0,0,0,0,7,0,3,0,0,2,3,1,6,2,3,3,4,1,0
"4969 CENTRAL DR","STONE MOUNTAIN","30083","089","13089021908",3,12,0,0,6,9,7,9,0,0,4,10,12,10,6,0,0,0,3,0,0,0,0,0,0,23,14,11,0,0,19,7,4,0,0,0,15,10,6,0,12,9,0,12,4,5,5,13,0
"1 ASHLEY LAKES DR","PEACHTREE CORNERS","30092","135","13135050315",30,31,21,2,0,0,0,0,0,0,16,1,0,0,0,0,0,10,0,0,0,0,6,0,0,24,18,0,0,7,0,2,0,0,0,0,8,0,0,7,0,23,2,0,0,11,0,0,0
"7735 TARA BLVD","JONESBORO","30236","063","13063040611",17,11,11,0,5,1,5,5,4,1,20,9,9,2,12,2,0,2,0,0,0,0,1,0,0,17,3,2,4,2,7,5,7,4,5,2,5,9,2,1,0,1,9,3,2,7,3,4,0
"1325 RIVERSIDE PKWY","AUSTELL","30168","067","13067031310",21,13,0,0,0,0,10,0,14,10,3,9,2,1,0,0,0,5,0,9,0,7,9,1,4,13,5,1,2,4,5,6,4,8,1,4,9,0,3,0,7,12,0,19,8,4,1,8,0
"2950 S COBB DR SE","SMYRNA","30080","067","13067031116",16,5,11,0,0,0,1,0,20,7,5,11,0,0,0,2,0,0,15,0,9,5,11,9,9,6,4,4,3,0,6,2,5,1,1,0,5,0,12,10,4,3,6,0,8,2,1,1,0
"3196 MT ZION RD","STOCKBRIDGE","30281","063","13063040616",1,6,6,0,0,0,0,0,4,0,14,6,8,5,4,4,4,2,6,8,4,2,3,11,2,2,6,8,2,19,18,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3840 JILES RD NW","KENNESAW","30144","067","13067030227",7,6,5,0,0,0,0,0,5,2,3,3,11,4,5,6,3,3,10,0,0,0,3,0,4,10,8,0,11,14,16,11,8,9,6,13,12,11,8,14,7,8,7,12,0,12,7,5,0
"1615 COBB PKWY N","MARIETTA","30062","067","13067030601",4,11,3,0,0,0,1,0,3,6,6,4,10,3,2,11,1,7,6,3,11,3,8,6,6,7,5,8,0,12,7,1,7,4,8,13,8,14,6,2,5,9,8,12,8,13,0,15,0
"158 PAPER MILL RD","LAWRENCEVILLE","30046","135","13135050545",3,3,10,0,0,0,0,0,0,0,0,1,0,3,3,8,0,0,2,0,0,0,1,13,6,4,15,11,9,9,22,12,17,12,12,10,18,7,11,6,8,4,8,5,11,9,5,6,0
"3355 MCDANIEL RD","DULUTH","30096","135","13135050215",9,3,5,0,0,0,5,7,1,8,7,7,11,4,5,5,2,3,0,0,2,0,1,1,4,16,1,5,10,12,11,7,7,4,6,4,7,8,8,3,6,5,8,9,2,12,10,6,0
"3841 KENSINGTON RD","DECATUR","30032","089","13089023112",0,0,0,0,0,0,5,4,0,6,0,0,0,18,5,6,11,3,6,3,11,7,7,1,15,1,7,9,4,6,5,7,7,8,10,2,10,7,3,3,3,7,3,14,5,9,5,7,0
"4255 SMOKECREEK PKWY","SNELLVILLE","30039","135","13135050709",8,8,2,0,0,0,0,3,1,4,12,5,0,5,3,3,3,7,2,6,7,8,7,6,6,6,7,4,4,7,4,7,6,10,9,1,7,5,7,5,12,2,11,5,9,5,5,2,0
"2000 BOULDERCREST RD SE","ATLANTA","30316","089","13089023802",5,0,0,0,0,9,0,8,0,0,1,0,0,21,0,0,2,5,0,5,10,9,10,9,6,5,2,7,3,14,2,27,0,0,0,0,8,0,9,0,0,14,0,0,0,5,0,0,0
"2200 SATELLITE BLVD","DULUTH","30097","135","13135050217",8,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,4,1,5,10,16,9,13,10,9,13,0,0,12,3,2,17,8,12,3,8,7,7,5,15,4,7,2,2,0
"4100 GLENWOOD RD","DECATUR","30032","089","13089023107",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,30,0,0,0,0,26,0,19,19,1,5,6,11,27,11,9,5,11,19,14,2,0,0,0,13,0,0,0,0,0
"6259 S NORCROSS TUCKER RD","TUCKER","30084","135","13135050418",4,2,0,3,7,0,8,6,2,6,1,5,1,2,4,5,4,2,6,11,6,5,4,7,7,8,3,8,8,8,6,4,3,3,6,4,7,0,7,0,5,2,3,3,2,5,4,8,0
"1650 BARNES MILL RD","MARIETTA","30062","067","13067030505",7,5,2,0,0,0,8,0,6,1,2,3,4,0,4,8,6,0,12,10,6,11,10,5,10,9,4,7,4,0,8,6,0,0,4,11,9,4,5,8,7,6,5,7,4,4,4,3,0
"4025 MCGINNIS FERRY RD","SUWANEE","30024","135","13135050210",14,16,13,0,0,0,0,0,15,6,5,5,1,10,5,3,6,5,6,0,5,0,7,0,2,6,0,3,3,5,6,6,3,2,2,2,2,0,7,3,4,4,7,9,5,3,2,6,0
"4719 CENTRAL DR","STONE MOUNTAIN","30083","089","13089021908",8,6,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,20,5,6,2,16,7,1,16,1,8,2,6,5,15,10,8,11,6,4,5,8,9,7,5,10,10,9,0,16,4,0
"10 PERIMETER PARK DR","ATLANTA","30341","089","13089021301",8,6,7,0,0,0,0,0,3,2,12,7,8,4,6,2,6,1,5,7,7,2,4,2,5,6,4,3,6,3,7,7,8,8,4,7,11,10,6,6,11,9,11,13,12,12,14,16,0
"2665 FAVOR RD SW","MARIETTA","30060","067","13067031004",33,25,1,0,0,1,0,0,13,1,0,1,8,0,1,0,0,0,28,2,0,2,4,6,8,0,3,4,1,0,6,1,4,3,7,7,7,4,1,3,6,4,0,12,8,5,4,6,0
"5211 PEACHTREE BLVD","CHAMBLEE","30341","089","13089021208",0,0,0,0,0,0,0,0,0,0,0,1,3,8,5,5,3,2,8,9,9,7,8,4,0,0,6,7,5,6,7,22,20,9,8,10,9,13,13,9,0,8,16,7,14,2,20,14,0
"1635 PIRKLE RD","NORCROSS","30093","135","13135050421",7,6,6,0,0,0,0,0,5,6,10,2,10,4,0,6,9,9,19,8,0,0,8,0,2,6,1,6,0,7,2,4,8,0,3,4,2,4,0,7,2,6,6,8,8,3,0,0,0
"2515 NORTHEAST EXPY","ATLANTA","30345","089","13089021605",14,15,8,0,0,0,0,0,3,0,3,5,10,1,1,6,4,7,5,3,4,4,5,5,24,0,2,2,6,4,4,2,2,4,4,5,7,6,3,2,6,8,4,8,9,5,5,6,0
"3290 COBB GALLERIA PKWY","ATLANTA","30339","067","13067030339",7,3,1,0,0,0,0,0,0,4,3,9,3,0,5,2,2,3,0,6,7,1,7,13,8,8,6,3,7,9,10,10,2,13,4,7,8,6,6,12,4,8,4,5,12,16,6,9,0
"415 SYLVIA DR","FOREST PARK","30297","063","13063040307",13,12,0,0,0,0,0,0,0,15,12,7,6,4,0,4,2,12,4,5,4,1,5,4,13,3,0,1,0,0,10,6,0,8,6,11,9,12,1,3,0,16,1,8,6,1,2,0,0
"2705 MALL OF GEORGIA BLVD","BUFORD","30519","135","13135050606",1,8,2,0,0,0,0,0,0,5,5,4,1,0,3,1,1,1,3,4,7,9,4,4,6,9,9,9,8,12,7,11,11,6,0,1,1,6,1,1,2,5,1,2,0,0,0,1,0
"934 GARDEN WALK BLVD","ATLANTA","30349","063","13063040519",7,10,7,0,0,0,0,1,0,13,8,3,0,0,0,5,0,4,2,0,4,0,16,5,2,0,0,0,20,11,0,1,22,9,8,0,2,17,12,7,0,11,9,16,20,28,15,20,0
"810 WINDY HILL RD SE","SMYRNA","30080","067","13067031101",0,21,6,0,0,1,0,0,0,6,6,1,11,9,4,10,4,8,0,18,5,5,0,0,2,6,9,5,2,1,5,0,3,2,0,3,6,1,0,0,0,20,4,6,10,4,3,1,0
"925 WHITLOCK AVE SW","MARIETTA","30064","067","13067030901",9,17,8,0,0,0,0,0,0,22,14,0,1,14,8,8,0,12,2,7,12,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3100 RAINBOW FOREST CIR","DECATUR","30034","089","13089023410",2,6,2,0,0,0,0,1,1,1,0,24,0,0,5,4,2,5,5,11,4,10,12,7,8,7,0,5,7,3,4,13,0,0,0,1,0,13,8,6,0,2,0,0,0,2,1,0,0
"1750 BRIARWOOD RD NE","BROOKHAVEN","30329","089","13089021414",14,9,0,0,0,0,0,0,0,0,4,8,0,9,0,0,6,4,6,13,3,14,9,3,5,3,0,4,8,1,5,7,7,5,2,4,3,6,3,4,6,3,7,5,10,4,4,3,0
"2575 DELK RD SE","MARIETTA","30067","067","13067030405",5,0,0,0,0,0,0,0,12,6,5,0,15,1,9,3,8,6,10,8,7,0,4,2,3,3,2,5,7,6,0,3,7,10,5,6,4,3,4,3,6,0,0,0,0,0,1,0,0
"852 GARDEN WALK BLVD","COLLEGE PARK","30349","063","13063040519",13,7,9,0,0,0,5,3,5,11,12,12,6,5,1,1,0,0,0,0,0,0,0,1,1,3,8,4,2,5,18,3,0,12,3,24,2,33,14,5,0,19,24,6,18,6,10,15,0
"1500 PARKWOOD CIR SE","ATLANTA","30339","067","13067030345",4,6,1,0,0,0,0,3,5,3,4,1,0,4,4,1,2,3,6,3,4,8,5,5,23,8,6,1,9,3,8,5,8,3,7,5,16,7,9,10,7,7,6,7,12,7,4,0,0
"296 ROY HUIE RD","RIVERDALE","30274","063","13063040522",8,10,6,0,0,0,0,0,0,3,1,3,1,5,6,2,3,3,3,2,3,0,5,23,14,0,3,2,13,3,3,6,9,5,7,8,6,0,5,4,2,7,8,10,10,12,8,0,0
"6603 CHURCH ST","RIVERDALE","30274","063","13063040512",5,3,6,0,0,0,0,4,9,8,10,8,6,9,5,7,0,1,0,0,0,0,0,0,1,0,16,7,8,5,9,1,15,2,1,6,11,11,3,2,5,11,23,13,15,9,0,14,0
"1400 MALL OF GEORGIA BLVD","BUFORD","30519","135","13135050106",10,6,5,0,0,0,0,0,6,0,1,5,0,2,1,2,5,4,2,9,3,7,2,2,3,23,6,7,7,0,11,5,7,3,0,5,6,4,1,2,2,2,2,4,1,4,2,1,0
"2222 E WEST CONNECTOR","AUSTELL","30106","067","13067031405",2,8,6,0,0,0,0,0,9,2,6,8,8,5,5,2,2,4,9,3,5,3,9,6,6,7,8,10,6,0,0,0,0,5,0,1,15,9,8,8,7,5,9,5,7,4,8,4,0
"3525 CLUB DR","LAWRENCEVILLE","30044","135","13135050542",2,3,3,0,0,0,0,0,7,5,4,5,7,3,3,6,9,1,3,0,5,4,3,0,6,4,4,3,8,8,16,4,7,10,8,7,7,6,6,2,3,4,7,6,8,6,8,6,0
"255 HONEYSUCKLE CIR","LAWRENCEVILLE","30046","135","13135050520",11,0,5,0,0,0,0,0,9,7,8,4,4,1,5,0,9,5,0,0,15,12,0,0,11,5,0,8,3,0,10,6,4,0,3,0,0,3,0,2,1,1,0,5,3,0,0,4,0
"2800 HERRINGTON WOODS CT","LAWRENCEVILLE","30044","135","13135050539",10,5,2,0,0,0,0,0,11,2,2,5,2,5,7,4,6,2,4,12,6,8,6,2,4,7,7,5,3,2,4,4,3,2,4,3,5,9,9,10,3,0,8,8,3,5,6,8,0
"4350 JIMMY CARTER BLVD","NORCROSS","30093","135","13135050431",9,8,3,0,0,0,0,0,2,3,0,5,2,9,4,0,0,3,6,10,11,0,5,0,5,4,8,2,4,10,7,6,5,10,17,8,14,5,3,2,6,10,9,10,5,12,12,14,0
"10 ARBOR CROSSING DR","LITHONIA","30058","089","13089023310",18,7,8,0,0,0,0,0,3,0,0,8,2,5,4,6,2,2,6,3,5,6,5,1,2,2,5,0,15,3,3,7,5,7,1,6,12,6,5,5,6,11,30,19,16,23,16,23,0
"4867 ASHFORD DUNWOODY RD","DUNWOODY","30338","089","13089021215",3,2,5,0,0,0,0,0,16,6,4,0,9,5,8,4,1,6,0,0,0,0,0,0,0,0,15,9,3,0,16,10,14,0,10,1,10,7,1,7,7,15,11,14,5,22,9,6,0
"4900 CENTRAL DR","STONE MOUNTAIN","30083","089","13089021913",28,4,9,0,4,8,7,6,0,8,2,10,3,1,9,1,1,1,0,7,7,4,0,4,1,1,2,2,1,1,1,2,5,0,4,3,4,0,1,1,0,1,0,1,2,1,2,1,0
"1940 ATLANTA RD SE","SMYRNA","30080","067","13067031001",1,7,4,0,0,0,0,1,0,1,3,7,0,0,2,2,1,5,3,4,4,0,2,0,0,15,11,9,10,9,0,22,8,8,7,0,17,11,8,8,10,5,11,10,0,22,0,16,0
"4044 GEORGE BUSBEE PKWY NW","KENNESAW","30144","067","13067030223",9,3,3,0,0,0,0,0,6,4,3,10,4,4,4,0,3,4,7,5,4,3,2,6,4,6,5,3,9,7,6,7,4,4,5,9,9,6,5,2,5,5,6,6,5,8,4,3,0
"1945 SAVOY DR","ATLANTA","30341","089","13089021202",7,2,5,0,0,0,0,0,7,0,8,4,6,3,1,2,2,3,0,5,9,0,10,7,8,4,5,3,6,6,5,6,6,8,7,4,9,6,5,9,9,3,9,10,6,5,5,0,0
"2850 DELK RD","MARIETTA","30067","067","13067030413",0,0,6,0,0,0,0,4,0,0,0,0,0,1,17,4,2,0,1,0,1,1,1,2,7,8,1,14,6,12,16,14,11,9,12,8,8,11,11,8,3,5,10,8,4,11,5,6,0
"3814 REDAN RD","DECATUR","30032","089","13089023112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,8,8,5,5,15,0,12,11,13,14,22,9,9,11,8,13,16,7,17,10,10,21,6,11,10,12,6,0
"1275 CUNNINGHAM RD SW","MARIETTA","30008","067","13067030904",6,11,8,0,0,0,0,0,4,0,2,0,0,1,8,9,2,9,7,7,0,5,5,0,7,9,1,4,2,5,5,7,7,5,23,11,12,10,1,2,0,9,0,0,11,0,0,0,0
"8213 HIGHWAY 85","RIVERDALE","30274","063","13063040514",4,8,4,10,0,5,0,3,12,7,7,7,5,5,8,1,3,3,3,8,6,6,0,7,4,1,1,0,1,1,1,2,3,0,0,3,2,0,1,0,0,1,5,1,0,0,0,0,0
"10 CRESTE DR","DECATUR","30035","089","13089023214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,29,7,13,0,18,16,35,0,9,8,0,5,0,0,0,0,0,0,0,0,0,0
"5400 MEMORIAL DR","STONE MOUNTAIN","30083","089","13089022004",11,8,3,0,0,0,0,0,1,0,2,4,5,2,4,8,0,5,6,12,4,4,1,4,9,0,0,0,9,9,13,0,11,0,4,1,19,5,6,4,6,6,5,6,4,12,13,0,0
"405 PHILIP BLVD NW","LAWRENCEVILLE","30046","135","13135050523",8,9,3,0,0,0,0,5,6,4,10,5,6,6,6,3,3,5,4,5,2,0,1,0,3,5,2,2,3,4,8,3,8,4,3,3,3,0,2,6,3,1,1,8,3,9,6,8,0
"4300 JIMMY CARTER BLVD","NORCROSS","30093","135","13135050431",6,5,6,0,0,0,0,0,10,5,1,1,10,8,0,5,0,1,5,0,4,3,3,1,3,5,2,7,6,10,4,13,7,2,7,20,10,17,13,12,9,9,6,9,10,5,13,16,0
"1075 N HAIRSTON RD","STONE MOUNTAIN","30083","089","13089021908",20,11,15,0,0,0,0,14,0,1,0,7,0,1,0,0,0,0,0,0,0,0,10,0,14,3,0,0,0,7,14,12,3,0,3,4,1,9,4,9,10,0,0,1,5,16,19,4,0
"685 ROUNTREE RD","RIVERDALE","30274","063","13063040523",4,7,0,0,4,3,6,4,0,0,0,0,0,0,0,7,0,3,0,7,0,25,1,6,0,8,11,11,1,11,7,2,2,2,1,0,12,6,0,2,4,11,0,0,0,13,4,3,0
"5420 RIVERDALE RD","COLLEGE PARK","30349","063","13063040202",8,12,1,0,0,0,0,0,2,14,5,10,2,3,6,0,3,3,0,0,1,6,1,15,2,0,7,6,4,6,0,1,13,0,0,0,0,7,0,4,1,0,10,8,6,3,17,10,0
"8050 TARA BLVD","JONESBORO","30236","063","13063040611",6,9,6,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,1,0,14,3,6,11,1,3,7,6,7,3,0,0,20,8,8,9,6,1,5,4,0,9,18,7,9,4,3,2,0
"1850 DULUTH HWY","LAWRENCEVILLE","30043","135","13135050511",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,5,2,5,8,7,3,6,11,6,8,7,10,12,12,6,10,11,6,5,5,2,8,6,8,16,10,7,5,3,6,0
"3405 SWEETWATER RD","LAWRENCEVILLE","30044","135","13135050542",6,11,7,0,0,0,0,0,2,5,6,2,8,4,2,3,10,7,0,7,6,0,8,0,0,7,0,0,5,11,0,7,5,1,3,10,6,5,6,8,5,7,6,6,1,9,0,8,0
"2751 HAMMONDTON RD SE","MARIETTA","30060","067","13067031004",17,13,3,1,0,0,0,0,0,1,4,10,0,1,0,11,0,0,15,4,7,0,6,8,0,0,0,0,0,0,1,0,0,27,13,9,2,11,22,23,5,0,1,7,13,18,4,0,0
"980 WALTHER BLVD NW","LAWRENCEVILLE","30043","135","13135050523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,26,19,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3214 VALLEY BLUFF DR","DORAVILLE","30340","089","13089021814",3,7,13,1,0,0,0,0,0,0,0,13,8,3,1,0,0,3,0,12,2,3,3,5,1,5,7,3,4,0,7,7,13,3,2,3,10,5,5,7,6,5,3,8,11,12,7,0,0
"3379 AZTEC RD","DORAVILLE","30340","089","13089021307",7,6,8,0,0,0,0,0,5,6,6,8,4,4,4,3,4,1,1,8,9,4,4,3,4,3,4,4,7,1,4,2,2,1,1,5,6,2,4,3,1,1,4,1,1,2,1,2,0
"2037 WEEMS RD","TUCKER","30084","089","13089021704",5,5,2,0,0,0,0,0,0,13,2,6,8,3,0,0,6,0,0,9,11,2,5,4,0,13,3,4,3,3,0,13,2,4,7,4,6,0,0,8,5,2,8,4,5,6,4,11,0
"3324 VALLEY BROOK PL","DECATUR","30033","089","13089022204",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,9,14,17,37,17,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1525 LAUREL CROSSING PKWY","BUFORD","30519","135","13135050605",3,6,1,0,0,0,0,0,1,3,0,2,0,1,3,1,5,0,3,4,3,0,7,0,2,17,3,0,11,11,7,6,14,11,1,7,13,13,13,7,12,6,12,6,3,5,6,4,0
"2935 ROSEBUD RD SW","LOGANVILLE","30052","135","13135050724",5,3,5,0,0,0,0,0,0,2,1,3,5,6,1,4,2,2,5,0,5,6,7,5,5,5,2,8,4,7,6,7,8,6,4,5,3,1,2,11,4,4,7,4,2,2,7,0,0
"3355 SWEETWATER RD","LAWRENCEVILLE","30044","135","13135050542",15,0,8,0,0,0,0,0,8,0,6,12,9,4,6,1,2,3,1,9,7,8,6,4,11,0,0,0,0,0,0,0,4,1,3,23,1,14,0,12,11,12,18,7,8,10,5,8,0
"900 LEGACY PARK DR","LAWRENCEVILLE","30043","135","13135050540",5,4,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,2,1,1,0,2,2,3,7,11,6,10,11,11,11,11,7,13,11,10,13,6,6,7,10,8,12,7,13,10,6,9,0
"100 LESLIE OAKS DR","LITHONIA","30058","089","13089023316",8,17,13,0,0,0,0,0,1,8,9,4,4,4,4,2,6,4,0,0,0,3,0,0,0,1,3,3,1,12,5,9,3,0,12,11,13,21,11,10,11,19,26,24,17,22,19,11,0
"141 HOLCOMB BRIDGE RD","NORCROSS","30071","135","13135050311",0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,2,3,2,6,8,6,2,7,4,6,9,9,7,6,5,8,8,5,11,3,0,6,1,2,1,4,4,3,2,3,3,0,1,0
"2035 MEMORIAL DR SE","ATLANTA","30317","089","13089023700",6,6,3,0,0,0,0,0,1,1,2,1,0,4,6,2,3,6,1,5,5,2,3,7,6,8,5,8,2,3,6,14,4,4,12,1,3,3,5,1,7,6,7,2,5,5,0,0,0
"1500 WALTON RESERVE BLVD","AUSTELL","30168","067","13067031310",7,7,3,0,0,0,0,1,0,2,0,2,7,8,4,0,3,1,1,4,0,18,5,5,5,5,10,1,4,1,9,4,3,3,5,5,3,2,3,4,5,2,7,7,14,5,4,9,0
"2916 CLAIRMONT RD NE","ATLANTA","30329","089","13089021414",11,12,6,0,0,0,0,0,11,4,5,9,6,0,6,7,0,2,5,0,2,4,4,3,6,2,0,2,0,7,1,4,1,3,2,0,2,5,2,0,4,0,1,1,3,3,2,3,0
