Country,Region,Year,Alcohol_consumption,BMI,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy
Equatorial Guinea,Africa,2011,9.38,23.6,14099,0.99,5.5,0,55.9
Peru,South America,2010,5.23,26,5178,29.03,8.4,0,74.4
Myanmar,Asia,2002,0.14,21.5,381,47.7,3.3,0,60.7
"Congo, Dem. Rep.",Africa,2012,4.4,21.7,433,69.02,5.8,0,57.9
Libya,Africa,2005,0.005,27.2,12760,5.8,6.4,0,71.9
Indonesia,Asia,2008,0.071,22.3,2514,235.47,7.1,0,68.5
Sierra Leone,Africa,2006,3.68,22.4,476,5.83,2.8,0,45.5
Spain,European Union,2004,11.32,26.2,25655,42.92,8.6,1,79.9
Armenia,Rest of Europe,2002,2.87,25.7,1619,3.03,10.8,0,72.1
Hungary,European Union,2009,11.52,26.7,11167,10.02,11.7,1,73.9
"Congo, Rep.",Africa,2005,0.86,22.5,2172,3.62,5.8,0,55.6
"Yemen, Rep.",Middle East,2010,0.06,23.3,2722,23.15,2.6,0,65.5
Trinidad and Tobago,Central America and Caribbean,2010,5.79,27,18189,1.33,10.7,0,71.9
Albania,Rest of Europe,2005,4.98,25.6,2676,3.01,9.1,0,75.2
Israel,Middle East,2014,2.71,27.2,35711,8.22,12.9,1,82.2
Colombia,South America,2000,4.52,24.8,3962,39.63,6.5,0,72.9
Honduras,Central America and Caribbean,2002,2.92,25,1810,6.93,4.5,0,71.2
Mozambique,Africa,2007,0.69,22.1,429,21.67,3,0,50.9
Central African Republic,Africa,2001,1.67,21.6,470,3.72,2.9,0,44.1
Kazakhstan,Asia,2003,6.22,25.7,6046,14.91,11.2,0,65.7
Kiribati,Oceania,2013,0.73,29.8,1453,0.11,7.9,0,66.7
Ethiopia,Africa,2010,0.4,20.3,453,87.64,2.3,0,61.6
United Kingdom,Rest of Europe,2013,9.42,27.1,43621,64.13,12.6,1,81
Belize,Central America and Caribbean,2005,6.1,27.9,4809,0.28,10.3,0,70
Kuwait,Middle East,2003,0.012,28.5,34322,2.16,6.1,0,73.4
Niger,Africa,2001,0.093,20.9,413,11.75,1.1,0,50.6
Kuwait,Middle East,2001,0.013,28.4,29186,2.1,6.2,0,73.2
St. Vincent and the Grenadines,Central America and Caribbean,2012,6.81,26.8,6810,0.11,8.5,0,71.9
Morocco,Africa,2010,0.47,25.4,2534,32.34,4.2,0,74.4
Greece,European Union,2004,9.1,26.9,22118,10.96,9.6,1,79
Ireland,European Union,2012,11.38,27.2,46001,4.6,11.3,1,80.8
Benin,Africa,2007,1.23,22.8,981,8.45,2.8,0,58.3
Luxembourg,European Union,2001,13.1,25.6,94244,0.44,10.5,1,77.8
Mali,Africa,2000,0.58,21.5,572,10.95,1.2,0,48.1
Namibia,Africa,2013,2.45,24,4588,2.23,6.6,0,60.5
Uruguay,South America,2014,6.15,27.1,15609,3.4,8.6,0,77.2
Djibouti,Africa,2009,0.47,23.8,1267,0.83,3.9,0,59.6
Seychelles,Africa,2013,8.32,26.5,14260,0.09,9.1,0,73.1
Turkiye,Middle East,2014,1.39,27.7,10550,77.23,7.6,0,76.2
Sri Lanka,Asia,2011,3.03,22.6,3177,20.4,10.8,0,75.6
Mexico,North America,2009,4.37,27.5,8569,112.46,8.2,0,75.1
Cuba,Central America and Caribbean,2013,4.35,25.4,7318,11.28,11,0,78.5
France,European Union,2003,13.45,24.9,34190,62.24,10.2,1,79.1
Uganda,Africa,2012,8.79,22.1,818,34.56,5.3,0,59
Eswatini,Africa,2009,5.65,26.3,3206,1.06,5.6,0,45.3
Mongolia,Asia,2002,2.41,24.5,1685,2.44,8.4,0,63.8
Nigeria,Africa,2003,11.33,22.5,1764,131.9,5.2,0,47.2
Azerbaijan,Asia,2002,0.55,25.7,1754,8.17,10.6,0,67.4
Mauritania,Africa,2005,0.014,24.2,1379,3.02,3.4,0,61.3
Israel,Middle East,2013,2.9,27.1,34961,8.06,12.8,1,82.1
Syrian Arab Republic,Middle East,2008,0.75,27.5,1579,20.66,6.3,0,73.6
Armenia,Rest of Europe,2014,4.22,26.2,3511,2.91,11.5,0,74.3
Equatorial Guinea,Africa,2012,9.79,23.7,14614,1.03,5.5,0,56.3
Turkmenistan,Asia,2012,3,26.1,5250,5.27,9.8,0,67.2
Kazakhstan,Asia,2011,3.41,26.1,9507,16.56,11.5,0,68.7
Uzbekistan,Asia,2000,3.03,24.8,1277,24.65,9.1,0,67.2
Namibia,Africa,2002,1.99,23.1,3211,1.85,5.8,0,50.9
Honduras,Central America and Caribbean,2015,2.49,26.7,2302,9.11,6.3,0,74.5
Hungary,European Union,2011,11.37,26.9,11557,9.97,12,1,74.9
Croatia,European Union,2010,10.71,26.7,11749,4.3,10.8,1,76.5
Equatorial Guinea,Africa,2006,8.7,23.2,13283,0.78,5.4,0,54.6
Gabon,Africa,2006,7.77,24.4,7092,1.43,7,0,58.6
Slovak Republic,European Union,2004,10.52,25.7,10717,5.37,10.6,1,74
Lesotho,Africa,2004,1.78,24.3,804,2.01,5.2,0,43.1
Uganda,Africa,2001,11.8,21.2,527,24.39,4,0,47.2
Libya,Africa,2014,0.01,27.9,7723,6.36,7.3,0,72
Ukraine,Rest of Europe,2001,7.31,25.7,1561,48.66,10.4,0,67.8
St. Lucia,Central America and Caribbean,2011,9.94,28.9,10619,0.18,8.4,0,75
Guinea,Africa,2015,0.38,22.9,769,11.43,2.6,0,59.6
Sweden,European Union,2006,6.81,25.6,47865,9.08,12.4,1,80.7
Sao Tome and Principe,Central America and Caribbean,2014,5.63,24.7,1554,0.2,5.3,0,69.1
Poland,European Union,2010,10.07,26.1,10859,38.04,12.2,1,76.2
Jordan,Middle East,2003,0.5,28,3923,5.43,9.7,0,72.3
Italy,European Union,2000,9.78,25.4,32351,56.94,8.6,1,79.8
Samoa,Oceania,2002,3.29,30.7,3433,0.18,9.1,0,69.5
Chile,South America,2013,7.23,27.7,13272,17.57,9.9,0,79.3
Saudi Arabia,Middle East,2004,0.059,27.7,18220,23.13,7.5,0,73.2
Malaysia,Asia,2003,0.51,24.2,6728,24.7,8,0,73.2
Belarus,Rest of Europe,2003,11.17,25.9,3139,9.8,9.1,0,68.6
Iceland,Rest of Europe,2008,7.19,26,53821,0.32,10.4,1,81.6
Italy,European Union,2007,8.37,25.7,34081,58.44,9.4,1,81.4
Dominican Republic,Central America and Caribbean,2003,6.53,25.2,4256,8.85,6.8,0,70.2
Canada,North America,2009,8.4,26.8,40368,33.63,12.5,1,81
Argentina,South America,2001,7.76,26.2,10146,37.28,9.1,0,73.8
Papua New Guinea,Oceania,2011,0.81,25.1,2211,7.47,4.1,0,62.3
Sweden,European Union,2015,7.13,26,51545,9.8,12.4,1,82.2
Singapore,Asia,2007,1.59,23.5,46180,4.59,10.2,0,80.4
Central African Republic,Africa,2006,1.7,22.1,467,4.12,3.3,0,45.2
"Iran, Islamic Rep.",Middle East,2004,0.012,25.4,4683,68.95,6.9,0,71.6
Greece,European Union,2006,8.68,27,23369,11.02,9.9,1,79.4
Bosnia and Herzegovina,Rest of Europe,2005,4.5,25,3502,3.77,7.4,0,75.2
Germany,European Union,2005,11.68,26.1,35310,82.47,13.3,1,78.9
Panama,Central America and Caribbean,2009,6.14,26.4,9840,3.58,9.3,0,76.6
Indonesia,Asia,2015,0.08,23,3332,258.38,7.9,0,70.8
Ireland,European Union,2010,11.57,27.1,45932,4.56,12.2,1,80.7
Belize,Central America and Caribbean,2001,4.77,27.5,4353,0.26,10.1,0,69
Equatorial Guinea,Africa,2004,8.11,23,11559,0.72,5.4,0,54.3
"Congo, Rep.",Africa,2009,1.3,22.7,2272,4.15,6,0,59.3
Cameroon,Africa,2005,4.9,23.6,1218,17.73,5.1,0,52.8
Austria,European Union,2006,12.58,25.3,42496,8.27,10.1,1,79.9
"Congo, Dem. Rep.",Africa,2008,3.23,21.4,392,60.41,5,0,55.7
Suriname,South America,2013,5.84,26.3,9673,0.55,8.1,0,71
Cyprus,European Union,2003,10.62,26.5,23929,0.99,10.4,1,78.4
Cyprus,European Union,2000,9.56,26.3,22382,0.94,10,1,78
Afghanistan,Asia,2008,0.028,22.5,399,27.72,3,0,59.9
Estonia,European Union,2000,9.03,25.4,9960,1.4,11.7,1,70.4
Armenia,Rest of Europe,2007,3.91,25.9,3093,2.93,11,0,72.8
"Bahamas, The",Central America and Caribbean,2000,11.93,26.7,35794,0.3,10.9,0,71.9
Austria,European Union,2003,12.31,25.1,39815,8.12,9.6,1,78.6
Vietnam,Asia,2011,2.46,21.2,2123,88.87,7.6,0,74.9
Norway,Rest of Europe,2009,6.68,26.3,72823,4.83,12.7,1,80.8
Kiribati,Oceania,2011,0.54,29.7,1366,0.1,7.9,0,66.1
Sao Tome and Principe,Central America and Caribbean,2011,6.31,24.5,1431,0.18,5,0,67.9
Kazakhstan,Asia,2008,3.42,25.9,8555,15.78,11.5,0,67.1
Mozambique,Africa,2014,1.08,22.6,569,26.29,3.4,0,56.1
Dominican Republic,Central America and Caribbean,2015,5.39,26.4,6922,10.28,7.8,0,73.2
"Congo, Dem. Rep.",Africa,2013,4.43,21.8,454,71.36,6,0,58.4
Djibouti,Africa,2000,1.24,23.5,768,0.72,3.2,0,57
Slovenia,European Union,2008,10.94,25.9,22297,2.02,11.9,1,78.8
Benin,Africa,2013,1.43,23.3,1052,10,3.2,0,60.1
Hungary,European Union,2014,10.92,27.1,12237,9.87,11.8,1,75.8
Slovenia,European Union,2006,12.26,25.8,20280,2.01,11.8,1,78.1
Nicaragua,Central America and Caribbean,2003,3.72,26.1,1472,5.29,5.3,0,70.6
"Bahamas, The",Central America and Caribbean,2013,9.23,27.8,31408,0.37,11.1,0,72.6
Mauritania,Africa,2000,0.03,23.7,1296,2.63,3,0,60.7
Guatemala,Central America and Caribbean,2000,2.52,25,3195,11.59,3.7,0,67.8
China,Asia,2010,5.75,23.2,5647,1337.71,7.3,0,74.4
Cameroon,Africa,2006,5.1,23.7,1230,18.22,5.2,0,53.2
Lithuania,European Union,2008,13.79,26.3,12425,3.2,12.2,1,71.8
Mexico,North America,2015,4.24,27.9,9617,121.86,8.6,0,74.9
Cabo Verde,Africa,2003,4.21,23.6,2106,0.45,4,0,69.9
Iraq,Middle East,2005,0.18,27.5,3493,26.92,5.8,0,68.3
Grenada,Central America and Caribbean,2005,8.85,25.9,8559,0.1,7.8,0,73.1
Colombia,South America,2003,4.14,25.1,4099,41.48,6.5,0,73.8
Sao Tome and Principe,Central America and Caribbean,2001,5.1,23.6,1081,0.14,4.3,0,62
Slovak Republic,European Union,2000,11.33,25.5,8915,5.39,10.3,1,73.1
Botswana,Africa,2006,7.14,24,5295,1.84,8.4,0,53.4
Czechia,European Union,2015,12.76,27,17830,10.55,12.7,1,78.6
Denmark,European Union,2014,9.55,25.3,52405,5.64,12.8,1,80.7
Mauritius,Africa,2010,3.15,25,7818,1.25,8.2,0,73
Benin,Africa,2015,1.53,23.5,1077,10.58,3.5,0,60.6
"Gambia, The",Africa,2014,2.68,23.8,654,2.02,3.3,0,60.7
Algeria,Africa,2009,0.43,25,3851,35.33,6.9,0,74.6
Poland,European Union,2003,9.06,25.6,7878,38.2,11.5,1,74.6
Burundi,Africa,2014,3.95,21.6,328,9.84,2.8,0,59.7
Bangladesh,Asia,2004,0.004,20.5,733,136.99,4.5,0,67.3
Barbados,Central America and Caribbean,2002,7.59,26.6,15905,0.27,9.1,0,77.5
Spain,European Union,2001,12.01,26.1,24708,40.85,8.5,1,79.4
Uzbekistan,Asia,2010,1.74,26,2131,28.56,10.7,0,69.7
Turkmenistan,Asia,2014,3.24,26.3,6149,5.47,9.8,0,67.6
Central African Republic,Africa,2008,1.73,22.2,480,4.27,3.4,0,46.2
Cuba,Central America and Caribbean,2004,4.36,24.8,4665,11.25,9.8,0,77.5
Togo,Africa,2013,1.21,23.3,537,6.95,4.5,0,59.2
St. Vincent and the Grenadines,Central America and Caribbean,2015,7.41,27.1,7207,0.11,8.6,0,72.1
Montenegro,Rest of Europe,2008,10.89,25.9,6206,0.62,10.9,0,75.1
Malaysia,Asia,2002,0.52,24.1,6488,24.21,8.2,0,73
Sri Lanka,Asia,2005,1.97,22,2245,19.54,10.4,0,74.7
Uzbekistan,Asia,2013,1.95,26.4,2487,30.24,11.3,0,70.4
Greece,European Union,2014,7.06,27.1,18000,10.89,10.5,1,81.4
Serbia,Rest of Europe,2008,9.59,25.7,5271,7.35,10.4,0,73.9
Mauritania,Africa,2014,0,24.8,1489,3.93,4.3,0,63.7
Bolivia,South America,2002,2.24,24.9,2066,8.74,7.2,0,63.6
Rwanda,Africa,2011,6.66,21.7,631,10.29,3.8,0,64.5
Lebanon,Middle East,2006,1.65,26.8,6684,4.76,7.6,0,77.3
Turkiye,Middle East,2012,1.47,27.6,9587,74.65,7.5,0,75.4
Jamaica,Central America and Caribbean,2013,3.16,27.4,4884,2.86,9.4,0,74
Moldova,Rest of Europe,2014,7.4,26.9,2720,2.86,11.6,0,71.3
Belgium,European Union,2014,10.57,26.1,40421,11.21,11.5,1,81.3
Serbia,Rest of Europe,2014,7.19,26,5463,7.13,10.7,0,75.3
India,Asia,2012,3.04,21.5,1347,1265.78,5.6,0,67.5
Nicaragua,Central America and Caribbean,2013,3.55,27,1916,6.06,6.4,0,73.2
Japan,Asia,2011,8.41,22.7,33011,127.83,11.8,1,82.6
Bahrain,Middle East,2012,1.72,24.9,21188,1.3,8.8,0,76.3
Mauritius,Africa,2003,4.02,24.7,6022,1.21,6.8,0,72.1
Djibouti,Africa,2005,1.22,23.7,905,0.78,3.7,0,58
Poland,European Union,2001,7.74,25.5,7451,38.25,11.1,1,74.2
Netherlands,European Union,2008,9.51,25.4,45939,16.45,12,1,80.3
Sweden,European Union,2003,6.88,25.4,43195,8.96,11.8,1,80.1
Lebanon,Middle East,2014,1.18,27.5,7938,6.26,8.4,0,78.7
Finland,European Union,2012,9.27,26,43637,5.41,12.4,1,80.6
Belarus,Rest of Europe,2004,12.08,26,3522,9.73,9.2,0,69
Czechia,European Union,2013,12.54,27,16594,10.51,12.6,1,78.2
Bhutan,Asia,2009,0.15,23.2,2018,0.68,2.3,0,67.9
Equatorial Guinea,Africa,2001,6.79,22.7,6983,0.63,5.4,0,53.6
Montenegro,Rest of Europe,2002,10.24,25.4,4529,0.61,10.3,0,73.2
Albania,Rest of Europe,2011,5.03,26.2,3678,2.91,9.3,0,76.9
Kuwait,Middle East,2005,0.013,28.7,39850,2.27,5.8,0,73.5
"Gambia, The",Africa,2001,3.28,22.1,747,1.36,2.1,0,56.4
Kiribati,Oceania,2015,0.35,30,1535,0.11,7.9,0,67.3
Burundi,Africa,2012,4.33,21.4,319,9.25,2.7,0,58.6
"Micronesia, Fed. Sts.",Oceania,2006,1.73,29.1,3042,0.11,6.3,0,65.7
Angola,Africa,2007,4.68,22.5,2845,20.91,4.5,0,52.2
Israel,Middle East,2008,2.59,26.8,31718,7.31,12.6,1,81
El Salvador,Central America and Caribbean,2013,2.35,27.4,3591,6.27,6.6,0,71.9
Montenegro,Rest of Europe,2006,10.38,25.8,5436,0.62,10.7,0,73.8
El Salvador,Central America and Caribbean,2007,2.73,26.8,3308,6.11,5.8,0,70.5
United States,North America,2012,8.85,28.6,54213,313.88,13.3,1,78.7
Bulgaria,European Union,2006,10.18,25.7,5629,7.6,10.4,1,72.6
Brazil,South America,2015,6.63,26.5,8814,204.47,7.6,0,75
Spain,European Union,2013,8.55,26,24361,46.62,9.5,1,83.1
Guyana,South America,2015,5.48,26.3,5577,0.77,8.4,0,69.3
Oman,Middle East,2001,0.54,25.5,21296,2.29,5.6,0,72.6
Dominican Republic,Central America and Caribbean,2012,5.49,26.1,5969,9.93,7.5,0,72.5
Angola,Africa,2006,4.02,22.4,2589,20.15,4.5,0,51.1
Cambodia,Asia,2000,0.6,20.7,487,12.16,3.2,0,58.4
Ghana,Africa,2005,0.56,23.2,1176,21.81,6.4,0,58.7
Canada,North America,2001,7.6,26.4,34227,31.02,11.2,1,79.3
Japan,Asia,2000,7.96,22.5,31431,126.84,10.7,1,81.1
Brazil,South America,2007,6.91,25.5,7937,190.13,6.5,0,72.6
Saudi Arabia,Middle East,2002,0.056,27.6,16095,21.81,7,0,72.9
Mongolia,Asia,2011,6.65,25.6,3028,2.77,9.8,0,67.8
Dominican Republic,Central America and Caribbean,2011,5.47,26,5881,9.81,7.4,0,72.3
Brazil,South America,2014,6.91,26.3,9215,202.76,7.4,0,74.7
Ukraine,Rest of Europe,2013,8.73,26.4,2466,45.49,11.3,0,71.2
Poland,European Union,2013,10.8,26.4,11656,38.04,12.1,1,77
Ukraine,Rest of Europe,2009,8.97,26.2,2215,46.05,11.3,0,69.2
Costa Rica,Central America and Caribbean,2003,4.05,26.1,8158,4.16,7.9,0,77.9
El Salvador,Central America and Caribbean,2000,2.65,26,2993,5.89,5.2,0,68.9
Chad,Africa,2014,0.68,21.8,780,13.66,2.2,0,52.8
Tonga,Oceania,2007,2.05,31.7,3817,0.1,9.8,0,69.9
Somalia,Africa,2010,0,22.8,296,12.04,2.1,0,54
China,Asia,2015,5.66,23.7,8016,1379.86,7.7,0,75.9
Albania,Rest of Europe,2002,3.96,25.3,2247,3.05,9,0,74.6
Uruguay,South America,2007,6.51,26.4,11245,3.33,8.2,0,76.3
Russian Federation,Rest of Europe,2006,11.83,26,7950,143.05,11.4,0,66.7
Cyprus,European Union,2010,11.33,26.7,26020,1.11,11.5,1,79.4
Eritrea,Africa,2015,1.03,20.7,9011,0.35,3.9,0,64.7
Panama,Central America and Caribbean,2002,4.94,25.8,6881,3.15,8.7,0,75.4
"Bahamas, The",Central America and Caribbean,2001,11.38,26.8,36178,0.3,10.9,0,72
"Yemen, Rep.",Middle East,2007,0.05,23,2555,21.28,2.2,0,64.5
Panama,Central America and Caribbean,2004,4.97,26,7427,3.27,8.9,0,75.7
Guinea,Africa,2007,0.19,22.4,684,9.52,1.6,0,54.9
Kuwait,Middle East,2015,0,29.5,29870,3.84,7.1,0,75.1
Finland,European Union,2002,9.25,25.8,39351,5.2,9.5,1,78.1
Croatia,European Union,2007,11.36,26.3,12550,4.31,10.1,1,75.7
St. Lucia,Central America and Caribbean,2004,12.58,27.6,9800,0.16,7.4,0,74
Burkina Faso,Africa,2001,5.53,21,456,11.94,1.3,0,50.9
United States,North America,2009,8.67,28.4,51996,306.77,13.2,1,78.4
Cabo Verde,Africa,2010,4.93,24.2,3011,0.49,5.1,0,71.1
Poland,European Union,2004,9.19,25.7,8275,38.18,11.6,1,74.8
Canada,North America,2015,8,26.9,43596,35.7,13.1,1,81.9
Ethiopia,Africa,2005,0.21,20.1,310,76.35,1.9,0,56.2
"Venezuela, RB",South America,2010,7.4,26.6,13825,28.44,8.9,0,73.1
Namibia,Africa,2014,2.59,24.1,4782,2.27,6.7,0,61.4
Ukraine,Rest of Europe,2010,7.77,26.3,2315,45.87,11.3,0,70.3
Equatorial Guinea,Africa,2009,7.2,23.4,15906,0.9,5.5,0,55.3
Mongolia,Asia,2010,7.73,25.4,2630,2.72,9.5,0,67.4
United States,North America,2001,8.25,27.7,48727,284.97,12.7,1,76.8
Belarus,Rest of Europe,2002,11.78,25.8,2912,9.87,9.1,0,68.1
Myanmar,Asia,2011,1.09,22.2,963,50.99,4.3,0,64
Grenada,Central America and Caribbean,2015,8.2,26.9,9097,0.11,8.7,0,72.4
Nigeria,Africa,2002,11.09,22.5,1685,128.6,5.2,0,46.8
China,Asia,2007,3.89,22.9,4319,1317.89,7,0,73.6
"Venezuela, RB",South America,2011,6.88,26.6,10956,28.89,9.8,0,73.1
Antigua and Barbuda,Central America and Caribbean,2009,7.64,26,15402,0.09,9.3,0,75.7
Timor-Leste,Oceania,2008,0.062,20.5,1020,1.06,4,0,66.3
Afghanistan,Asia,2006,0.026,22.3,354,26.43,2.7,0,58.8
Peru,South America,2009,5.04,25.9,4819,28.79,8.4,0,74.1
Guyana,South America,2011,5.64,25.9,5089,0.75,8.2,0,68.3
Senegal,Africa,2010,0.18,22.7,1150,12.68,2.4,0,64.3
"Egypt, Arab Rep.",Africa,2011,0.19,28.9,3473,84.53,6.7,0,70.5
Angola,Africa,2001,1.94,21.8,1847,16.95,4.4,0,47.1
Italy,European Union,2014,7.56,25.6,29980,60.79,10.1,1,83.1
Slovak Republic,European Union,2011,10.27,26.1,14890,5.4,12.1,1,76
Algeria,Africa,2013,0.5,25.3,4043,38.14,7.8,0,75.7
United Kingdom,Rest of Europe,2005,11.38,26.7,43137,60.4,12.2,1,79
El Salvador,Central America and Caribbean,2003,2.91,26.4,3060,5.99,5.7,0,69.7
Cameroon,Africa,2009,5.72,23.9,1247,19.79,5.2,0,54.6
Albania,Rest of Europe,2015,4.33,26.6,3953,2.88,9.7,0,78
Cameroon,Africa,2014,4.7,24.2,1344,22.68,6,0,57.1
Lesotho,Africa,2015,3.07,24.9,1146,2.06,6.1,0,51
Rwanda,Africa,2004,7.83,21.2,425,8.68,2.7,0,53.6
Switzerland,Rest of Europe,2005,10.15,25,76785,7.44,12,1,81.2
Mozambique,Africa,2010,0.79,22.3,480,23.53,3.2,0,52.3
Cambodia,Asia,2002,0.75,20.8,539,12.64,3.3,0,60.3
Liberia,Africa,2006,4.06,23.5,578,3.33,3.8,0,56.4
Suriname,South America,2003,4.7,25.6,6816,0.49,7.7,0,68.3
Namibia,Africa,2001,2.29,23,3111,1.82,5.8,0,51.4
Uganda,Africa,2013,8.12,22.2,821,35.69,5.4,0,59.9
Nepal,Asia,2008,0.2,21.6,675,26.67,3.1,0,66.7
Saudi Arabia,Middle East,2015,0,28.4,20628,31.72,9.5,0,74.7
India,Asia,2015,3,21.7,1606,1310.15,6.3,0,68.6
Czechia,European Union,2012,12.83,26.9,16607,10.51,12.4,1,78.1
Luxembourg,European Union,2002,12.88,25.7,96270,0.45,10.7,1,78
Cameroon,Africa,2010,5.88,24,1248,20.34,5.3,0,55.1
Cyprus,European Union,2004,13.03,26.5,24798,1.01,10.5,1,78.5
Montenegro,Rest of Europe,2009,10.17,26,5834,0.62,11,0,75.1
Peru,South America,2007,4.51,25.7,4439,28.33,8.1,0,73.5
Djibouti,Africa,2002,1.11,23.6,791,0.75,3.4,0,57.2
Colombia,South America,2013,4.32,26,5867,46.5,7.8,0,76.1
Indonesia,Asia,2012,0.08,22.7,2981,248.45,7.6,0,69.9
South Africa,Africa,2004,7.2,26.5,5374,47.29,8.8,0,53.4
Lithuania,European Union,2015,14.2,26.4,14264,2.9,13,1,74.3
Czechia,European Union,2004,13.42,26.6,14070,10.2,11.6,1,75.7
Italy,European Union,2008,7.96,25.7,33530,58.83,9.5,1,81.5
New Zealand,Oceania,2011,9.45,27.7,35916,4.38,12,1,80.9
Nigeria,Africa,2010,5.22,23,2404,158.5,5.2,0,50.9
Thailand,Asia,2010,6.19,23.8,5164,67.2,7.7,0,74.2
Bulgaria,European Union,2008,10.73,25.8,6460,7.49,10.5,1,73
Central African Republic,Africa,2004,1.6,21.9,459,3.96,3.2,0,44.4
Honduras,Central America and Caribbean,2001,2.61,24.9,1791,6.75,4.4,0,71
Haiti,Central America and Caribbean,2008,3.49,24.3,1339,9.65,4.6,0,59.8
Austria,European Union,2013,12.1,25.5,44299,8.48,11.9,1,81.1
Dominican Republic,Central America and Caribbean,2000,6.72,24.9,4209,8.47,6.4,0,69.4
Djibouti,Africa,2003,0.52,23.6,819,0.76,3.5,0,57.4
Rwanda,Africa,2001,9.27,21,361,8.23,2.4,0,49.9
Ghana,Africa,2013,1.78,23.8,1768,26.61,6.9,0,62.1
Malta,European Union,2005,6.14,27.1,18134,0.4,9.8,1,79.3
Chile,South America,2003,6.37,26.9,9233,15.85,9.4,0,77.1
Saudi Arabia,Middle East,2013,0,28.3,20176,30.05,9.5,0,74.4
Colombia,South America,2014,4.22,26,6069,46.97,8,0,76.3
St. Vincent and the Grenadines,Central America and Caribbean,2007,6.2,26.3,7154,0.11,8.1,0,71.6
Namibia,Africa,2003,2.29,23.2,3298,1.88,5.8,0,50.6
Togo,Africa,2003,0.89,22.4,522,5.33,4.1,0,53.9
"Yemen, Rep.",Middle East,2014,0.03,23.6,2283,25.82,3,0,66.1
Bosnia and Herzegovina,Rest of Europe,2012,4.83,25.5,4216,3.6,8.3,0,76.4
St. Lucia,Central America and Caribbean,2014,9.18,29.6,10280,0.18,8.7,0,75.4
Maldives,Asia,2002,1.82,23.4,6832,0.29,3.2,0,71.7
Armenia,Rest of Europe,2013,3.92,26.2,3407,2.9,11.4,0,74.1
Uganda,Africa,2005,11.3,21.6,610,27.68,4.4,0,51.7
Cyprus,European Union,2009,10.81,26.7,26182,1.1,11.3,1,79.2
Afghanistan,Asia,2002,0.02,21.9,320,22.6,2.3,0,56.8
Tonga,Oceania,2008,1.1,31.7,3967,0.1,10.1,0,69.9
Zimbabwe,Africa,2003,1.96,23.4,1291,11.98,6.8,0,43.2
Luxembourg,European Union,2000,13.21,25.6,92528,0.44,10.3,1,77.9
Antigua and Barbuda,Central America and Caribbean,2010,7.16,26.1,13987,0.09,9.2,0,75.8
Burkina Faso,Africa,2004,5.51,21.3,491,13.03,1.3,0,52.6
St. Lucia,Central America and Caribbean,2006,13.02,28,10141,0.17,7.6,0,74.3
Solomon Islands,Oceania,2006,1.01,25.4,1871,0.48,4.9,0,69.5
Turkmenistan,Asia,2015,3.36,26.4,6433,5.57,9.8,0,67.7
Qatar,Middle East,2005,1.08,28,57624,0.87,8.8,0,78.3
Nigeria,Africa,2005,11.24,22.7,1948,138.87,5.2,0,48.3
Kenya,Africa,2009,1.17,22.8,1261,40.9,6.1,0,59.9
Lesotho,Africa,2008,2.91,24.5,962,1.99,5.4,0,43.4
Indonesia,Asia,2004,0.054,22,2109,223.29,7.3,0,67
Vietnam,Asia,2002,0.82,20.1,1295,81.53,5.8,0,73.4
Bahrain,Middle East,2003,2.04,25.4,22336,0.78,8.4,0,75
Paraguay,South America,2003,4.49,25.3,3816,5.63,7,0,71.2
Antigua and Barbuda,Central America and Caribbean,2015,9.06,26.6,14285,0.09,9.2,0,76.5
Burundi,Africa,2000,7.17,20.6,307,6.38,1.8,0,49.1
Fiji,Oceania,2006,2.07,26.8,4620,0.83,9.3,0,66.4
Malawi,Africa,2015,2.04,22.8,381,16.75,4.4,0,62
Guinea,Africa,2005,0.2,22.2,661,9.11,1.6,0,53.2
Comoros,Africa,2014,0.13,24.2,1258,0.76,4.8,0,63.2
Rwanda,Africa,2013,6.15,21.9,683,10.81,3.8,0,66.2
Antigua and Barbuda,Central America and Caribbean,2011,7.24,26.2,13525,0.09,9.2,0,76
Turkmenistan,Asia,2007,2.23,25.4,3353,4.87,9.9,0,65.7
Vanuatu,Oceania,2008,1.17,25.8,2877,0.22,6.6,0,68.8
United Kingdom,Rest of Europe,2008,10.66,26.9,44121,61.81,12.8,1,79.6
Kyrgyz Republic,Asia,2008,7.29,25.6,966,5.32,10.3,0,68.5
Italy,European Union,2013,7.35,25.6,30258,60.23,10.3,1,82.7
Czechia,European Union,2014,12.75,27,16951,10.53,12.8,1,78.8
St. Vincent and the Grenadines,Central America and Caribbean,2014,7.12,27,7029,0.11,8.6,0,72
Tanzania,Africa,2001,6.25,22.2,587,34.39,4.3,0,51.4
Morocco,Africa,2001,0.45,24.7,1870,29.13,3.5,0,69.2
Estonia,European Union,2009,14.66,26.1,14205,1.33,12.4,1,74.8
El Salvador,Central America and Caribbean,2011,2.31,27.2,3447,6.21,6.5,0,71.4
Moldova,Rest of Europe,2010,6.92,26.6,2255,2.86,11.1,0,69.6
Myanmar,Asia,2015,1.47,22.6,1197,52.68,4.9,0,65.8
Nepal,Asia,2013,0.28,22.1,821,26.92,4.2,0,68.8
Tanzania,Africa,2010,6.95,22.8,808,44.35,5.1,0,58.6
